model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
pca_16,expanded-development,S057,2733,41,0.43902439024390244,0.45215311004784686,0.4267477203647416,0.2727272727272727,0.631578947368421,6,16,7,12
pca_16,expanded-development,S058,2733,45,0.5333333333333333,0.5595238095238095,0.465799886941775,0.16666666666666666,0.9523809523809523,4,20,1,20
pca_16,expanded-development,S062,2733,45,0.8,0.8023715415019763,0.7984071677451469,0.6956521739130435,0.9090909090909091,16,7,2,20
pca_16,expanded-development,S070,2733,45,0.4666666666666667,0.4762845849802371,0.35096153846153844,0.9090909090909091,0.043478260869565216,20,2,22,1
pca_16,expanded-development,S072,2733,42,0.8571428571428571,0.8571428571428572,0.8568181818181818,0.9047619047619048,0.8095238095238095,19,2,4,17
pca_32,expanded-development,S006,2733,45,0.5333333333333333,0.5446428571428572,0.5248868778280543,0.375,0.7142857142857143,9,15,6,15
pca_32,expanded-development,S012,2733,45,0.4888888888888889,0.5089285714285714,0.44976076555023925,0.8095238095238095,0.20833333333333334,17,4,19,5
pca_32,expanded-development,S019,2733,39,0.5897435897435898,0.6150793650793651,0.5542857142857143,0.2857142857142857,0.9444444444444444,6,15,1,17
pca_32,expanded-development,S021,2733,25,0.8,0.7980769230769231,0.7987117552334944,0.8461538461538461,0.75,11,2,3,9
pca_32,expanded-development,S029,2733,45,0.6888888888888889,0.6956521739130435,0.6605603448275862,0.391304347826087,1.0,9,14,0,22
pca_32,expanded-development,S035,2733,45,0.6444444444444445,0.6452569169960474,0.6442687747035574,0.6818181818181818,0.6086956521739131,15,7,9,14
pca_32,expanded-development,S037,2733,42,0.5,0.5,0.3333333333333333,1.0,0.0,21,0,21,0
pca_32,expanded-development,S045,2733,45,0.6,0.5938735177865613,0.5635775862068966,0.8695652173913043,0.3181818181818182,20,3,15,7
pca_32,expanded-development,S046,2733,45,0.6666666666666666,0.6650197628458498,0.6640119462419114,0.7391304347826086,0.5909090909090909,17,6,9,13
pca_32,expanded-development,S047,2733,45,0.4444444444444444,0.43452380952380953,0.4263131055583886,0.5833333333333334,0.2857142857142857,14,10,15,6
pca_32,expanded-development,S054,2733,45,0.7333333333333333,0.7371541501976284,0.7267206477732794,0.5652173913043478,0.9090909090909091,13,10,2,20
pca_32,expanded-development,S057,2733,41,0.43902439024390244,0.4449760765550239,0.43768634466308887,0.36363636363636365,0.5263157894736842,8,14,9,10
pca_32,expanded-development,S058,2733,45,0.5333333333333333,0.5565476190476191,0.4833242208857299,0.20833333333333334,0.9047619047619048,5,19,2,19
pca_32,expanded-development,S062,2733,45,0.8222222222222222,0.825098814229249,0.8200000000000001,0.6956521739130435,0.9545454545454546,16,7,1,21
pca_32,expanded-development,S070,2733,45,0.4,0.40711462450592883,0.33570256971022416,0.7272727272727273,0.08695652173913043,16,6,21,2
pca_32,expanded-development,S072,2733,42,0.8095238095238095,0.8095238095238095,0.8090909090909091,0.7619047619047619,0.8571428571428571,16,5,3,18
pca_64,expanded-development,S006,2733,45,0.5111111111111111,0.5357142857142857,0.44999999999999996,0.16666666666666666,0.9047619047619048,4,20,2,19
pca_64,expanded-development,S012,2733,45,0.4888888888888889,0.5178571428571428,0.3915343915343915,0.9523809523809523,0.08333333333333333,20,1,22,2
pca_64,expanded-development,S019,2733,39,0.6410256410256411,0.6666666666666666,0.61,0.3333333333333333,1.0,7,14,0,18
pca_64,expanded-development,S021,2733,25,0.68,0.6826923076923077,0.6794871794871795,0.6153846153846154,0.75,8,5,3,9
pca_64,expanded-development,S029,2733,45,0.6222222222222222,0.6304347826086957,0.567552289429056,0.2608695652173913,1.0,6,17,0,22
pca_64,expanded-development,S035,2733,45,0.5777777777777777,0.5691699604743083,0.4973544973544973,0.18181818181818182,0.9565217391304348,4,18,1,22
pca_64,expanded-development,S037,2733,42,0.5,0.5,0.3333333333333333,1.0,0.0,21,0,21,0
pca_64,expanded-development,S045,2733,45,0.6222222222222222,0.6156126482213439,0.5817386550027337,0.9130434782608695,0.3181818181818182,21,2,15,7
pca_64,expanded-development,S046,2733,45,0.6888888888888889,0.6887351778656126,0.6887351778656126,0.6956521739130435,0.6818181818181818,16,7,7,15
pca_64,expanded-development,S047,2733,45,0.4888888888888889,0.4910714285714286,0.4888888888888889,0.4583333333333333,0.5238095238095238,11,13,10,11
pca_64,expanded-development,S054,2733,45,0.8,0.8013833992094861,0.7996041563582384,0.7391304347826086,0.8636363636363636,17,6,3,19
pca_64,expanded-development,S057,2733,41,0.4634146341463415,0.47488038277511957,0.4553140096618358,0.3181818181818182,0.631578947368421,7,15,7,12
pca_64,expanded-development,S058,2733,45,0.5555555555555556,0.5773809523809523,0.5150862068965517,0.25,0.9047619047619048,6,18,2,19
